,date,sector,GVA_share
0,1997-03-31,Agriculture _share,0.009990293020728349
1,1997-06-30,Agriculture _share,0.010383742937786773
2,1997-09-30,Agriculture _share,0.010598387667330714
3,1997-12-31,Agriculture _share,0.01046555734805519
4,1998-03-31,Agriculture _share,0.010680091168194444
5,1998-06-30,Agriculture _share,0.010351217987362405
6,1998-09-30,Agriculture _share,0.010488462691039856
7,1998-12-31,Agriculture _share,0.01004166502372409
8,1999-03-31,Agriculture _share,0.009778064527379017
9,1999-06-30,Agriculture _share,0.009557099435518888
10,1999-09-30,Agriculture _share,0.009184932639586805
11,1999-12-31,Agriculture _share,0.009132723654086666
12,2000-03-31,Agriculture _share,0.0089605587171906
13,2000-06-30,Agriculture _share,0.009161908029638344
14,2000-09-30,Agriculture _share,0.009357233737578715
15,2000-12-31,Agriculture _share,0.009069907074209415
16,2001-03-31,Agriculture _share,0.008448911775449843
17,2001-06-30,Agriculture _share,0.008175910181453961
18,2001-09-30,Agriculture _share,0.008321556335126518
19,2001-12-31,Agriculture _share,0.00882914505024011
20,2002-03-31,Agriculture _share,0.009967297191069119
21,2002-06-30,Agriculture _share,0.009972147150251277
22,2002-09-30,Agriculture _share,0.009791477787851315
23,2002-12-31,Agriculture _share,0.009929735888746056
24,2003-03-31,Agriculture _share,0.009347482175492838
25,2003-06-30,Agriculture _share,0.009369266667854153
26,2003-09-30,Agriculture _share,0.009469876058094047
27,2003-12-31,Agriculture _share,0.009593352289981504
28,2004-03-31,Agriculture _share,0.009183247049722154
29,2004-06-30,Agriculture _share,0.008442650067176623
30,2004-09-30,Agriculture _share,0.007866283206236911
31,2004-12-31,Agriculture _share,0.006967931083217475
32,2005-03-31,Agriculture _share,0.006572440002082357
33,2005-06-30,Agriculture _share,0.006088988463982847
34,2005-09-30,Agriculture _share,0.0057851109181337335
35,2005-12-31,Agriculture _share,0.005771703238258499
36,2006-03-31,Agriculture _share,0.0059829007596267254
37,2006-06-30,Agriculture _share,0.006139356731171326
38,2006-09-30,Agriculture _share,0.006679853236497607
39,2006-12-31,Agriculture _share,0.006533062332229182
40,2007-03-31,Agriculture _share,0.006136703612527827
41,2007-06-30,Agriculture _share,0.0058294215353506176
42,2007-09-30,Agriculture _share,0.006128583324777843
43,2007-12-31,Agriculture _share,0.006889338063804826
44,2008-03-31,Agriculture _share,0.007447982236006547
45,2008-06-30,Agriculture _share,0.007340198056668191
46,2008-09-30,Agriculture _share,0.007462398765908215
47,2008-12-31,Agriculture _share,0.007566574839302112
48,2009-03-31,Agriculture _share,0.007911473341403946
49,2009-06-30,Agriculture _share,0.007742535716120342
50,2009-09-30,Agriculture _share,0.007227442198863653
51,2009-12-31,Agriculture _share,0.006823725133584289
52,2010-03-31,Agriculture _share,0.006486846040117272
53,2010-06-30,Agriculture _share,0.0064063731795361185
54,2010-09-30,Agriculture _share,0.006419440007465103
55,2010-12-31,Agriculture _share,0.006736467528912612
56,2011-03-31,Agriculture _share,0.007689647346180034
57,2011-06-30,Agriculture _share,0.007993295071117814
58,2011-09-30,Agriculture _share,0.007672806528351397
59,2011-12-31,Agriculture _share,0.007231200747963136
60,2012-03-31,Agriculture _share,0.006688786787008561
61,2012-06-30,Agriculture _share,0.007010612443506523
62,2012-09-30,Agriculture _share,0.0071657537657164195
63,2012-12-31,Agriculture _share,0.007251577520366926
64,2013-03-31,Agriculture _share,0.006818164426679862
65,2013-06-30,Agriculture _share,0.006914407631157353
66,2013-09-30,Agriculture _share,0.007151254408564497
67,2013-12-31,Agriculture _share,0.007491008555833827
68,2014-03-31,Agriculture _share,0.008265192502955359
69,2014-06-30,Agriculture _share,0.008553428640659074
70,2014-09-30,Agriculture _share,0.008420997277457877
71,2014-12-31,Agriculture _share,0.008183240117546687
72,2015-03-31,Agriculture _share,0.007293683204039433
73,2015-06-30,Agriculture _share,0.007112896112304935
74,2015-09-30,Agriculture _share,0.006919607966647769
75,2015-12-31,Agriculture _share,0.006987015466425772
76,2016-03-31,Agriculture _share,0.006179937094600044
77,2016-06-30,Agriculture _share,0.006351866613072082
78,2016-09-30,Agriculture _share,0.006771184598803951
79,2016-12-31,Agriculture _share,0.006671820863041548
80,2017-03-31,Agriculture _share,0.00693051209630039
81,2017-06-30,Agriculture _share,0.006651274213304716
82,2017-09-30,Agriculture _share,0.0065324119691476095
83,2017-12-31,Agriculture _share,0.006541077969649398
84,2018-03-31,Agriculture _share,0.006396615574202646
85,2018-06-30,Agriculture _share,0.006189107672485557
86,2018-09-30,Agriculture _share,0.006331222236245626
87,2018-12-31,Agriculture _share,0.006683230885898013
88,2019-03-31,Agriculture _share,0.006582746511205565
89,2019-06-30,Agriculture _share,0.006610100814620841
90,2019-09-30,Agriculture _share,0.006814581293337473
91,2019-12-31,Agriculture _share,0.00705936173904813
92,2020-03-31,Agriculture _share,0.007148568687030225
93,2020-06-30,Agriculture _share,0.007746741685742335
94,2020-09-30,Agriculture _share,0.007260372551614611
95,2020-12-31,Agriculture _share,0.007652678031333352
96,2021-03-31,Agriculture _share,0.008540515748047619
97,2021-06-30,Agriculture _share,0.008145891402519392
98,2021-09-30,Agriculture _share,0.00765189011523164
99,2021-12-31,Agriculture _share,0.007343584654219977
100,2022-03-31,Agriculture _share,0.007425233415188689
101,2022-06-30,Agriculture _share,0.00763918217275731
102,2022-09-30,Agriculture _share,0.007382784553909508
103,2022-12-31,Agriculture _share,0.007012499418210779
104,2023-03-31,Agriculture _share,0.007001077220123359
105,2023-06-30,Agriculture _share,0.006224325712123669
106,2023-09-30,Agriculture _share,0.006047487092236812
107,2023-12-31,Agriculture _share,0.006171402930997822
108,2024-03-31,Agriculture _share,0.006237150774181374
109,2024-06-30,Agriculture _share,0.006279439955904088
110,2024-09-30,Agriculture _share,0.0063588528823563676
111,1997-03-31,Mining and quarrying _share,0.021099907574694973
112,1997-06-30,Mining and quarrying _share,0.01875742618431496
113,1997-09-30,Mining and quarrying _share,0.01975386792277187
114,1997-12-31,Mining and quarrying _share,0.019966820984128
115,1998-03-31,Mining and quarrying _share,0.017241301185820897
116,1998-06-30,Mining and quarrying _share,0.015683122334606024
117,1998-09-30,Mining and quarrying _share,0.01391704419256465
118,1998-12-31,Mining and quarrying _share,0.012648467244106218
119,1999-03-31,Mining and quarrying _share,0.01244599831728359
120,1999-06-30,Mining and quarrying _share,0.014389926183239253
121,1999-09-30,Mining and quarrying _share,0.01690265073933195
122,1999-12-31,Mining and quarrying _share,0.01832361752253057
123,2000-03-31,Mining and quarrying _share,0.020824239629059223
124,2000-06-30,Mining and quarrying _share,0.02002303752175085
125,2000-09-30,Mining and quarrying _share,0.021935546214427212
126,2000-12-31,Mining and quarrying _share,0.02300678751923528
127,2001-03-31,Mining and quarrying _share,0.021124243388363204
128,2001-06-30,Mining and quarrying _share,0.022140178425846126
129,2001-09-30,Mining and quarrying _share,0.020309064373649818
130,2001-12-31,Mining and quarrying _share,0.016551271913752868
131,2002-03-31,Mining and quarrying _share,0.01671010505348073
132,2002-06-30,Mining and quarrying _share,0.01792204960889487
133,2002-09-30,Mining and quarrying _share,0.016274723851462617
134,2002-12-31,Mining and quarrying _share,0.017098574266682248
135,2003-03-31,Mining and quarrying _share,0.019525691128560386
136,2003-06-30,Mining and quarrying _share,0.014705829963841044
137,2003-09-30,Mining and quarrying _share,0.015339518171025121
138,2003-12-31,Mining and quarrying _share,0.015708251663307842
139,2004-03-31,Mining and quarrying _share,0.01518913897129674
140,2004-06-30,Mining and quarrying _share,0.016216909605244502
141,2004-09-30,Mining and quarrying _share,0.017095387452025695
142,2004-12-31,Mining and quarrying _share,0.01793584901939517
143,2005-03-31,Mining and quarrying _share,0.017657738560049978
144,2005-06-30,Mining and quarrying _share,0.017759817169856137
145,2005-09-30,Mining and quarrying _share,0.01900371042867293
146,2005-12-31,Mining and quarrying _share,0.019054020305789277
147,2006-03-31,Mining and quarrying _share,0.020799594213881063
148,2006-06-30,Mining and quarrying _share,0.019475639541578535
149,2006-09-30,Mining and quarrying _share,0.018744054719231757
150,2006-12-31,Mining and quarrying _share,0.01669560373791902
151,2007-03-31,Mining and quarrying _share,0.016101485294290865
152,2007-06-30,Mining and quarrying _share,0.01677186394164801
153,2007-09-30,Mining and quarrying _share,0.017019723258387232
154,2007-12-31,Mining and quarrying _share,0.020308988366997894
155,2008-03-31,Mining and quarrying _share,0.02065425521567189
156,2008-06-30,Mining and quarrying _share,0.023490824067964593
157,2008-09-30,Mining and quarrying _share,0.022687455236626082
158,2008-12-31,Mining and quarrying _share,0.014585010948647312
159,2009-03-31,Mining and quarrying _share,0.012350310036545097
160,2009-06-30,Mining and quarrying _share,0.014277886541743483
161,2009-09-30,Mining and quarrying _share,0.014621911068206333
162,2009-12-31,Mining and quarrying _share,0.016537664424988368
163,2010-03-31,Mining and quarrying _share,0.01735601633310136
164,2010-06-30,Mining and quarrying _share,0.01800201927997455
165,2010-09-30,Mining and quarrying _share,0.01740027774575834
166,2010-12-31,Mining and quarrying _share,0.018268664887429002
167,2011-03-31,Mining and quarrying _share,0.018753985323202958
168,2011-06-30,Mining and quarrying _share,0.019132915993099783
169,2011-09-30,Mining and quarrying _share,0.017894234888100415
170,2011-12-31,Mining and quarrying _share,0.018870041405102178
171,2012-03-31,Mining and quarrying _share,0.01855505325181594
172,2012-06-30,Mining and quarrying _share,0.01679532237974724
