Year,All,Heroin,Methadone,Benzodiazepines,Gabapentin/Pregabalin,Cocaine,Ectasy,Amphetamines,Alcohol
1996-01-01,244,84,100,..,..,3,9,..,87
1997-01-01,224,74,86,..,..,5,2,..,70
1998-01-01,249,121,64,..,..,4,3,..,86
1999-01-01,291,167,63,..,..,12,8,..,89
2000-01-01,292,196,55,164,0,4,11,3,123
2001-01-01,332,216,69,182,0,19,20,5,140
2002-01-01,382,248,98,245,0,31,20,13,156
2003-01-01,317,175,87,186,0,29,14,10,128
2004-01-01,356,225,80,140,0,38,17,10,116
2005-01-01,336,194,72,110,0,44,10,11,114
2006-01-01,421,260,97,94,0,33,13,11,131
2007-01-01,455,289,114,109,0,47,11,11,157
2008-01-01,574,324,169,149,2,36,5,11,167
2009-01-01,545,322,173,154,2,32,2,6,165
2010-01-01,485,254,174,122,3,33,0,3,127
2011-01-01,584,206,275,185,8,36,8,24,129
2012-01-01,581,221,237,196,25,31,9,18,111
2013-01-01,527,221,216,149,56,45,17,27,103
2014-01-01,614,309,214,121,86,45,14,22,106
2015-01-01,706,345,251,191,131,93,15,17,107
2016-01-01,868,473,362,426,208,123,28,25,112
2017-01-01,934,470,439,552,242,176,27,32,90
2018-01-01,1187,537,560,792,367,273,35,46,156
2019-01-01,1280,651,567,902,443,372,25,52,140
2020-01-01,1339,605,708,974,502,459,40,60,173
